,membership,age_group,rating
0,False,40s,9.9
1,True,30s,7.4
2,False,40s,7.4
3,False,30s,7.0
4,True,50s,9.0
5,False,40s,9.2
6,False,20s,8.9
7,True,30s,9.0
8,False,30s,7.4
9,True,30s,8.2
10,False,40s,7.9
11,True,40s,6.8
12,False,20s,8.0
13,True,50s,7.5
14,False,20s,10.0
15,False,30s,6.2
16,False,30s,8.0
17,True,30s,5.7
18,False,30s,6.5
19,True,20s,7.6
20,False,30s,7.7
21,True,50s,8.1
22,False,20s,7.5
23,False,20s,8.5
24,True,20s,7.4
25,False,20s,6.7
26,False,30s,7.3
27,True,30s,8.1
28,True,50s,7.9
29,True,30s,7.1
30,True,50s,9.2
31,True,50s,10.0
32,False,30s,4.9
33,False,40s,9.0
34,False,30s,8.5
35,True,30s,10.0
36,False,40s,7.5
37,True,30s,7.8
38,True,20s,8.2
39,False,30s,9.0
40,False,30s,10.0
41,False,40s,5.9
42,False,50s,10.0
43,True,30s,7.0
44,False,40s,9.0
45,True,50s,9.0
46,False,30s,6.4
47,True,40s,5.5
48,False,40s,7.8
49,True,40s,8.0
