membership,age_group,rating
True,30s,8.6
False,40s,5.6
False,50s,10.0
False,30s,7.0
False,30s,9.0
False,50s,6.2
False,50s,8.5
False,50s,9.4
False,40s,7.8
True,50s,8.9
False,40s,7.2
False,20s,6.0
True,30s,6.3
False,50s,7.8
False,50s,9.5
True,20s,5.8
False,30s,9.1
False,30s,8.4
True,20s,6.9
True,50s,6.5
False,30s,10.0
False,30s,9.5
True,40s,9.2
False,40s,8.3
True,50s,7.9
False,30s,7.4
False,40s,7.5
True,40s,7.8
True,40s,4.9
True,50s,8.9
False,50s,7.9
False,30s,6.6
False,50s,9.3
True,50s,9.5
True,40s,8.4
False,50s,9.5
False,30s,9.1
True,20s,4.8
False,40s,9.2
False,50s,8.2
True,20s,6.1
True,20s,7.6
True,50s,9.2
False,40s,7.7
True,50s,9.8
True,50s,10.0
False,40s,8.2
True,50s,9.2
False,30s,6.8
True,20s,7.3
