membership,age_group,rating
TRUE,30s,6.0
TRUE,40s,8.0
FALSE,30s,9.3
FALSE,40s,7.4
TRUE,40s,10.0
TRUE,30s,7.2
TRUE,50s,7.1
FALSE,30s,8.0
TRUE,20s,7.3
TRUE,40s,7.0
TRUE,40s,9.2
TRUE,30s,8.0
FALSE,40s,8.0
FALSE,50s,4.8
TRUE,50s,8.7
TRUE,20s,7.6
FALSE,50s,6.4
TRUE,30s,6.5
FALSE,30s,6.6
TRUE,30s,9.4
TRUE,20s,7.3
TRUE,40s,8.8
FALSE,50s,8.2
TRUE,40s,7.8
TRUE,30s,7.3
FALSE,50s,8.1
TRUE,40s,8.2
TRUE,20s,4.4
FALSE,50s,10.0
FALSE,50s,7.8
TRUE,20s,10.0
FALSE,50s,6.8
TRUE,40s,9.8
FALSE,50s,7.3
TRUE,20s,5.5
TRUE,30s,8.7
FALSE,50s,10.0
FALSE,30s,4.6
TRUE,40s,6.7
TRUE,30s,7.4
FALSE,20s,6.7
TRUE,40s,6.0
FALSE,20s,6.8
FALSE,30s,9.5
TRUE,50s,8.7
TRUE,30s,7.2
FALSE,40s,8.0
FALSE,50s,7.8
TRUE,20s,9.0
FALSE,20s,8.9
