,userid,version,device,revisit,detention
0,171712,A,phone,False,15.55
1,979731,B,tablet,True,5.04
2,270438,B,phone,False,19.66
3,368129,A,PC,True,16.93
4,923724,B,tablet,False,0.04
5,985563,B,PC,True,22.92
6,962009,B,phone,False,9.32
7,241485,B,tablet,True,12.79
8,130441,B,phone,False,14.89
9,955172,B,PC,False,5.86
10,291929,B,phone,True,7.69
11,231165,A,phone,False,16.9
12,310321,A,tablet,True,20.15
13,135235,B,phone,False,12.1
14,791906,A,tablet,False,11.43
15,952372,A,tablet,False,11.72
16,105037,A,tablet,False,11.83
17,519001,A,PC,True,4.91
18,277103,A,phone,False,7.71
19,559127,B,tablet,True,6.89
20,968004,A,tablet,False,9.05
21,611849,B,tablet,False,9.56
22,176478,B,PC,True,4.21
23,853156,A,phone,True,24.15
24,379025,A,phone,False,17.01
25,550034,B,phone,False,15.1
26,633918,B,tablet,False,12.5
27,719885,B,PC,True,0.36
28,982519,B,tablet,True,14.39
29,993666,A,tablet,False,6.25
30,563267,B,tablet,False,2.66
31,467177,A,phone,True,8.96
32,299898,B,PC,True,27.39
33,863831,A,tablet,True,11.68
34,527546,B,PC,False,0.0
35,949270,B,tablet,False,7.42
36,256108,A,phone,True,6.64
37,459119,B,tablet,True,15.54
38,427010,B,PC,True,15.85
39,783610,A,tablet,True,0.0
40,611027,A,phone,False,16.74
41,459398,B,PC,True,15.3
42,871886,A,tablet,True,1.24
43,902512,B,tablet,True,15.71
44,420956,B,PC,True,0.7
45,942543,B,tablet,False,8.43
46,229018,B,PC,False,17.92
47,605960,B,phone,False,11.54
48,694560,A,PC,True,26.89
49,103466,B,tablet,False,9.14
50,120427,A,phone,False,17.29
51,876077,B,PC,True,20.36
52,882663,B,PC,False,13.98
53,956670,B,PC,True,0.0
54,662694,B,tablet,False,18.67
55,140621,A,phone,False,5.26
56,803733,B,phone,False,6.15
57,564286,A,phone,True,7.35
58,343215,A,phone,True,8.76
59,933705,B,PC,True,4.92
60,925510,B,tablet,True,13.57
61,342997,A,tablet,False,4.84
62,514290,B,PC,True,9.01
63,390183,A,tablet,True,5.65
64,793929,B,phone,False,6.41
65,754146,A,PC,False,9.86
66,504316,A,tablet,True,7.2
67,272366,A,PC,True,23.54
68,370436,A,PC,True,19.41
69,438141,A,phone,False,12.94
70,976718,B,PC,True,10.94
71,583933,B,PC,True,6.26
72,697618,A,tablet,False,6.31
73,775489,A,phone,False,11.42
74,793004,A,PC,True,17.97
75,316800,B,phone,False,11.12
76,535945,B,tablet,True,9.17
77,535024,A,tablet,True,4.95
78,711784,B,PC,False,12.58
79,719507,A,phone,True,11.32
80,233245,A,PC,True,14.51
81,174890,B,PC,False,9.05
82,842000,A,phone,False,3.91
83,576315,B,phone,True,18.33
84,846168,B,PC,True,4.33
85,713496,B,PC,False,14.3
86,686049,B,tablet,False,13.83
87,708704,B,phone,True,11.65
88,495973,B,phone,False,14.7
89,505336,A,phone,False,13.19
90,123842,B,phone,True,10.92
91,300655,B,tablet,True,14.76
92,483676,A,tablet,True,12.73
93,545678,A,tablet,True,8.95
94,361291,B,tablet,False,10.18
95,347507,A,tablet,False,9.16
96,274936,A,PC,True,1.01
97,558310,B,tablet,False,2.4
98,435508,B,tablet,False,4.45
99,584230,A,phone,False,18.76
100,988604,B,PC,False,10.1
101,776467,A,PC,False,9.74
102,596518,A,tablet,False,15.59
103,760290,B,tablet,True,7.77
104,681596,A,tablet,True,8.8
105,464134,A,tablet,False,13.22
106,846341,A,tablet,True,9.55
107,971803,B,phone,False,4.88
108,775525,B,PC,False,17.31
109,416086,A,phone,True,10.99
110,174573,B,tablet,False,25.24
111,499253,A,tablet,False,3.39
112,941211,A,tablet,False,10.63
113,125247,A,phone,False,11.55
114,414961,A,tablet,True,23.63
115,348867,A,phone,True,4.05
116,124813,B,phone,False,10.02
117,934803,A,PC,True,9.43
118,409498,B,PC,True,6.83
119,196648,A,tablet,True,13.4
120,680350,B,tablet,False,18.62
121,338873,B,PC,False,2.62
122,575157,B,tablet,True,17.45
123,122957,B,PC,False,6.38
124,609157,B,PC,True,15.37
125,138870,A,PC,True,11.51
126,583728,B,tablet,True,12.61
127,486030,B,phone,False,10.99
128,693015,B,tablet,True,1.77
129,404805,B,phone,True,7.31
130,665119,A,tablet,False,8.67
131,752673,B,PC,False,7.79
132,883749,B,PC,False,23.2
133,609638,A,phone,False,10.67
134,139308,A,phone,True,4.59
135,234490,B,tablet,True,12.38
136,436458,A,PC,True,14.5
137,393883,A,phone,False,10.16
138,678486,A,phone,False,12.58
139,991982,A,tablet,True,19.32
140,748776,B,PC,False,4.1
141,589671,B,phone,True,5.19
142,709413,A,tablet,False,7.58
143,476367,A,tablet,True,10.91
144,620891,B,tablet,True,11.84
145,874595,A,PC,True,14.19
146,171818,B,tablet,True,11.25
147,612754,B,tablet,True,9.72
148,101337,B,PC,False,20.56
149,529531,B,PC,True,12.87
