,membership,age_group,rating
0,True,50s,8.1
1,False,40s,9.2
2,False,20s,8.4
3,False,50s,7.9
4,True,50s,7.2
5,True,50s,8.6
6,True,20s,8.2
7,True,40s,7.8
8,False,40s,6.5
9,True,50s,6.6
10,True,50s,10.0
11,False,20s,9.9
12,False,40s,8.6
13,False,30s,7.1
14,True,30s,8.8
15,True,50s,7.8
16,False,30s,8.3
17,False,20s,7.1
18,True,50s,9.7
19,False,20s,5.2
20,False,30s,8.3
21,True,20s,8.0
22,True,20s,7.9
23,True,40s,7.8
24,True,20s,7.8
25,True,20s,7.0
26,False,40s,6.0
27,True,30s,7.2
28,False,40s,8.6
29,False,20s,6.4
30,False,30s,9.2
31,False,30s,7.7
32,False,50s,7.6
33,False,30s,7.7
34,True,40s,8.1
35,False,40s,7.5
36,False,40s,6.7
37,False,30s,8.9
38,False,40s,7.7
39,False,20s,9.1
40,True,50s,5.9
41,False,20s,7.3
42,False,20s,10.0
43,False,50s,7.9
44,False,40s,8.4
45,True,50s,8.7
46,True,50s,7.1
47,False,30s,9.6
48,True,20s,8.0
49,False,20s,6.9
